Date,Receiver,Amount,SomeRandomColumn
2022-08-31,VR-YHTYMÄ OY,-49.9,
2022-08-27,VR-YHTYMÄ OY,-27.0,
2022-08-27,STOCKMANN TAPIOLA,-53.4,
2022-08-25,BESTSELLER,-79.99,
2022-08-25,NISSEN ISO OMENA,-7.9,
2022-08-25,YA Iso Omena,-11.44,
2022-08-25,ALEPA OTANIEMI UUSI,-14.56,
2022-08-25,Compass Group Finland Oy,-2.7,
2022-08-25,ALEPA OTANIEMI UUSI,-6.25,
2022-08-19,Compass Group Finland Oy,-2.7,
2022-08-19,K-supermarket Tapiola,-39.34,
2022-08-19,KABACKA,-23.4,
2022-08-19,Galaxie Center & Waino Se,-3.8,
2022-08-19,Galaxie Center & Waino Se,-2.0,
2022-08-18,VFI*TMK Tori ja markkinak,-70.0,
2022-08-18,HOLY SMOKE,-9.5,
2022-08-18,SUSANNAN GRILLI,-8.0,
2022-08-18,K-citymarket Kauhajoki,-5.98,
2022-08-16,VR-YHTYMÄ OY,-36.0,
2022-08-13,ADOBE PHOTOGPHY PLAN,-12.39,
2022-08-11,0448 NESTE HEINOLA VIERUM,-9.6,
2022-08-11,SEO Jaala,-20.0,
2022-08-07,R AALTOYO METROKESKUS,-1.7,
2022-08-07,Avecra Oy Stop at station,-7.9,
2022-08-04,VR-YHTYMÄ OY,-7.2,
2022-08-04,DNA Oyj,-18.9,
2022-08-01,NETFLIX INTERNATIONAL B.V,-15.99,
2022-06-30,PAYTRAIL OYJ,-50.0,
2022-06-29,ALEPA OTANIEMI UUSI,-29.0,
2022-06-29,KOTIPIZZA ISO-O,-18.1,
2022-06-27,KLARNA AB,-62.9